text,label,source,domain,,,,,
Budget/funds availability,1,artigo1.txt,cti,,,,,
Tax credits,1,artigo1.txt,cti,,,,,
"Revenue, profits/profitability",1,artigo1.txt,cti,,,,,
"EBITDA, budget fulfillment",1,artigo1.txt,cti,,,,,
Net cash flow,1,artigo1.txt,cti,,,,,
Potential Sales,1,artigo1.txt,cti,,,,,
ROI of R&D projects/new product program,1,artigo1.txt,cti,,,,,
Return of investment in innovation,1,artigo1.txt,cti,,,,,
Sales of new product program,1,artigo1.txt,cti,,,,,
Sales through innovation,1,artigo1.txt,cti,,,,,
Sales percent of new products and services in total sales,1,artigo1.txt,cti,,,,,
Sales under patent protection,1,artigo1.txt,cti,,,,,
Sales and sales growth,1,artigo1.txt,cti,,,,,
Share of sales with newly developed products,1,artigo1.txt,cti,,,,,
Share of turnover of new product,1,artigo1.txt,cti,,,,,
Share of a business total sales deriving from innovative products,1,artigo1.txt,cti,,,,,
Share of new and improved products in total sales as output indicators,1,artigo1.txt,cti,,,,,
Share of new products in % from revenue = return on sales,1,artigo1.txt,cti,,,,,
Share of new products in % compared to the total revenue in comparison to previous years,1,artigo1.txt,cti,,,,,
Share of innovation expenses to total turnover,1,artigo1.txt,cti,,,,,
Revenue based on new products,1,artigo1.txt,cti,,,,,
Percent of new products that equals 80% sales,1,artigo1.txt,cti,,,,,
Profits under patent protection,1,artigo1.txt,cti,,,,,
"Rate of turnover, perception of innovation returns",1,artigo1.txt,cti,,,,,
"Revenue from new products, services, new customers",1,artigo1.txt,cti,,,,,
Number of new products to sales,1,artigo1.txt,cti,,,,,
Volume of sales from innovative products,1,artigo1.txt,cti,,,,,
Payback period/amortization time,1,artigo1.txt,cti,,,,,
Internal rate of return (%),1,artigo1.txt,cti,,,,,
"R&D costs/revenue in %, profit margin measures",1,artigo1.txt,cti,,,,,
New-to-market and new-to-business sales,1,artigo1.txt,cti,,,,,
"Percentage increase in innovation revenues per employee, portfolio",1,artigo1.txt,cti,,,,,
Recursos Humanos,1,artigo2.txt,cti,,,,,
Bancos de patentes,1,artigo2.txt,cti,,,,,
Compra e venda de tecnologias,1,artigo2.txt,cti,,,,,
Exportação,1,artigo2.txt,cti,,,,,
Importação,1,artigo2.txt,cti,,,,,
Recursos Aplicados Consolidados,1,artigo2.txt,cti,,,,,
Recursos Aplicados,1,artigo2.txt,cti,,,,,
Bolsas de Formação,1,artigo2.txt,cti,,,,,
Produção Científica,1,artigo2.txt,cti,,,,,
Patentes,1,artigo2.txt,cti,,,,,
Inovação,1,artigo2.txt,cti,,,,,
Comparações Internacionais,1,artigo2.txt,cti,,,,,
"Orçamento Público em I+D+I (investigação,desenvolvimento e inovação)",1,artigo2.txt,cti,,,,,
Orçamento geral do Estado para I+D+I,1,artigo2.txt,cti,,,,,
Distribuição do orçamento geral entre pesquisa militar e pesquisa civil,1,artigo2.txt,cti,,,,,
"Distribuição do orçamento por departamentos ministeriais: Economia, indústria e competitividade; Energia, turismo e agenda digital; Defesa;",1,artigo2.txt,cti,,,,,
"Educação, cultura e esporte; Fazenda e gestão pública; Presidência e administrações territoriais; Relações exteriores; Fomento;",1,artigo2.txt,cti,,,,,
Distribuição do orçamento por segmentos e respectivos programas de I+D+I,1,artigo2.txt,cti,,,,,
Percentual de utilização de créditos orçamentários recebidos,1,artigo2.txt,cti,,,,,
Distribuição dos créditos orçamentários por objetivos socioeconômicos,1,artigo2.txt,cti,,,,,
Gastos em P&D por setor de execução,1,artigo2.txt,cti,,,,,
Gastos em P&D por setor de financiamento,1,artigo2.txt,cti,,,,,
"Gastos em P&D por tipo de pesquisa (pesquisa básica, pesquisa aplicada e desenvolvimento tecnológico);",1,artigo2.txt,cti,,,,,
Gastos em P&D por pesquisador e por setor de execução,1,artigo2.txt,cti,,,,,
Gastos em P&D por pesquisador e por comunidades autônomas,1,artigo2.txt,cti,,,,,
Gastos em P&D por comunidades autônomas e setor de atividade,1,artigo2.txt,cti,,,,,
Recursos destinados a P&D em países da OCDE,1,artigo2.txt,cti,,,,,
Gastos em P&D em países ibero-americanos e Estados Unidos da América,1,artigo2.txt,cti,,,,,
Gastos em P&D em países da União Europeia (UE) por setor de execução (Empresas e Instituições Privadas sem Fins Lucrativos, Administração Pública, Ensino Superior),,1,artigo2.txt,cti,,
Gastos em P&D em países da UE por setor de financiamento (Empresas,,1,artigo2.txt,cti,,,,
Instituições Privadas sem Fins Lucrativos, Administração Pública, Ensino Superior, Estrangeiro),,1,artigo2.txt,cti,
Gastos em P&D em euros por habitantes nos países da UE,1,artigo2.txt,cti,,,,,
Recursos Humanos em P&D,1,artigo2.txt,cti,,,,,
Profissionais em atividades de P&D,,1,artigo2.txt,cti,,,,
Profissionais empregados em atividades de P&D em relação à população,,1,artigo2.txt,cti,,,,
Profissionais empregados em atividades de P&D por setor de execução (Empresas, Instituições Privadas sem Fins Lucrativos, Administração Pública, Ensino Superior),,1,artigo2.txt,cti,
Pesquisadores contratados em período integral por setor de execução (Empresas, Instituições Privadas sem Fins Lucrativos, Administração Pública, Ensino Superior),,1,artigo2.txt,cti,
"Profissionais e pesquisadores em atividades de P&D por setor de execução, em número de pessoas e porcentagem de mulheres sobre o total;",1,artigo2.txt,cti,,,,,
"Profissionais e pesquisadores em atividades de P&D por setor de execução em período integral, em número de pessoas e porcentagem de mulheres sobre o total;",1,artigo2.txt,cti,,,,,
Percentual de técnicos e auxiliares em P&D em relação aos pesquisadores e ao setor de execução,,1,artigo2.txt,cti,,,,
População entre 30 e 34 anos com formação superior,,1,artigo2.txt,cti,,,,
Profissionais empregados em atividades de P&D em período integral por comunidades autônomas,,1,artigo2.txt,cti,,,,
Pesquisadores em período integral por comunidades autônomas,,1,artigo2.txt,cti,,,,
Profissionais empregados em atividades de P&D em período integral por comunidades autônomas e setor de atividade,,1,artigo2.txt,cti,,,,
Recursos destinados a P&D nos países membros da OCDE em profissionais empregados em atividades de P&D em relação à população ativa,,1,artigo2.txt,cti,,,,
Pesquisadores em período integral nos países ibero-americanos.,1,artigo2.txt,cti,,,,,
Inovação tecnológica em empresas espanholas,,1,artigo2.txt,cti,,,,
Empresas inovadoras e gastos em inovação por segmentos,,1,artigo2.txt,cti,,,,
Empresas inovadoras e gastos em inovação por segmentos e porte da empresa,,1,artigo2.txt,cti,,,,
Gastos em inovação por tipo de atividade inovadora e porte da empresa,,1,artigo2.txt,cti,,,,
Intensidade em inovação tecnológica das empresas,,1,artigo2.txt,cti,,,,
Número de empresas com atividades de inovação tecnológica que realizam P&D por porte da empresa,,1,artigo2.txt,cti,,,,
"Percentual de venda de produtos inovadores das empresas por segmento econômico (agricultura, indústria, serviços);",1,artigo2.txt,cti,,,,,
"Percentual de venda de produtos inovadores das empresas inovadoras por segmento econômico (agricultura, indústria, serviços);",1,artigo2.txt,cti,,,,,
Financiamento público para a inovação,,1,artigo2.txt,cti,,,,
Cooperação para a inovação de empresas inovadoras e demais agentes de SI,,1,artigo2.txt,cti,,,,
Cooperação para a inovação de empresas inovadoras e demais agentes de SI por porte de empresa,,1,artigo2.txt,cti,,,,
Empresas com inovações não tecnológicas segundo tipo de inovação e porte da empresa,,1,artigo2.txt,cti,,,,
Inovação tecnológica nas comunidades autônomas,,1,artigo2.txt,cti,,,,
Gastos em inovação tecnológica por comunidades autônomas,,1,artigo2.txt,cti,,,,
Ranking de inovação dos países da UE.,1,artigo2.txt,cti,,,,,
Situação do setor de alta tecnologia,,1,artigo2.txt,cti,,,,
Comércio exterior em produtos de alta tecnologia,,1,artigo2.txt,cti,,,,
Profissionais empregados nos setores de alta tecnologia por comunidades autônomas,,1,artigo2.txt,cti,,,,
Profissionais empregados nos setores de alta tecnologia nos países da UE,,1,artigo2.txt,cti,,,,
Situação do setor de biotecnologia.,1,artigo2.txt,cti,,,,,
Produção científica espanhola,,1,artigo2.txt,cti,,,,
Distribuição de produção por área de conhecimento publicada na base de dados Scopus,,1,artigo2.txt,cti,,,,
Distribuição de produção por área de conhecimento publicada na base de dados Web of Science,,1,artigo2.txt,cti,,,,
Principais países colaboradores da Espanha,,1,artigo2.txt,cti,,,,
Produção científica nas comunidades autonômicas,,1,artigo2.txt,cti,,,,
Países com maior número de produção cientifica nas bases de dados Scopus e Web of Science,,1,artigo2.txt,cti,,,,
Solicitações de patentes nacionais (Espanha),,1,artigo2.txt,cti,,,,
Solicitações de patentes europeias e PCT de origem espanhola,,1,artigo2.txt,cti,,,,
Solicitações de patentes nacionais segundo natureza do solicitante (Particulares, Empresas, Conselho Superior de Investigações Científicas, Organismos Públicos, Universidades),,1,artigo2.txt,cti
Concessões de patentes na Espanha,,1,artigo2.txt,cti,,,,
Concessões de patentes europeias de origem espanhola,,1,artigo2.txt,cti,,,,
Solicitações e concessões de patentes na Espanha por comunidades autônomas,,1,artigo2.txt,cti,,,,
Teses de doutorado concluídas por tipo de universidade e comunidades autônomas,,1,artigo2.txt,cti,,,,
"Patentes triádicas (solicitadas simultaneamente na Europa, Japão e Estados Unidos da América) concedidas em países da OCDE.",1,artigo2.txt,cti,,,,,
"Nível de interesse pela ciência e tecnologia em comparação a outros temas selecionados (medicina e saúde; alimentos e consumo; meio ambiente e ecologia; política; cinema, arte e cultura);",1,artigo2.txt,cti,,,,,
Imagem social da ciência e da tecnologia,,1,artigo2.txt,cti,,,,
Percepção do nível de formação científico-tecnológica recebida,,1,artigo2.txt,cti,,,,
"Meios de informação sobre ciência e tecnologia (televisão, internet, jornal, rádio, livro, revistas científicas, revistas genéricas);",1,artigo2.txt,cti,,,,,
"Valorização de profissões (médicos, cientistas, professores, engenheiros, juízes, advogados, jornalistas, atletas, empresários, religiosos e políticos);",1,artigo2.txt,cti,,,,,
Imagem da profissão de cientista,,1,artigo2.txt,cti,,,,
Percepção dos recursos investidos em ciência pelo governo central,1,artigo2.txt,cti,,,,,
Participação em programas e instituições internacionais de I+D+I,,1,artigo2.txt,cti,,,,
Programas Marco de P&D da UE,,1,artigo2.txt,cti,,,,
Investimento decorrente do Programa Marco Horizonte 2020 de P&D por tipo de entidade participante,,1,artigo2.txt,cti,,,,
Investimento decorrente do Programa Marco Horizonte 2020 de P&D por área temática,,1,artigo2.txt,cti,,,,
Investimento decorrente do Programa Marco Horizonte 2020 de P&D por comunidade autônoma,,1,artigo2.txt,cti,,,,
Investimento decorrente do Programa Marco Horizonte 2020 de P&D por número de pesquisadores por comunidade autônoma,,1,artigo2.txt,cti,,,,
Contribuição dos países da UE ao orçamento do Programa Marco Horizonte 2020 e retorno da UE aos países,,1,artigo2.txt,cti,,,,
Subvenção concedida pelo Programa Marco Horizonte 2020 por número de pesquisadores.,1,artigo2.txt,cti,,,,,
Nível de interesse da população pela ciência e pela tecnologia,1,artigo2.txt,cti,,,,,
Imagem social,1,artigo2.txt,cti,,,,,
Valorização da profissão de cientista em comparação com outras profissões,,1,artigo2.txt,cti,,,,
Imagem da profissão de cientista e a percepção de recursos destinados à ciência pelo governo central,1,artigo2.txt,cti,,,,,
Tempo,1,artigo3.txt,cti,,,,,
Custo,1,artigo3.txt,cti,,,,,
Qualidade,1,artigo3.txt,cti,,,,,
Satisfação,1,artigo3.txt,cti,,,,,
Aprendizado de Equipe,1,artigo3.txt,cti,,,,,
Recurso financeiro despendido,1,artigo3.txt,cti,,,,,
Atendimento aos requisitos pré-definidos,1,artigo3.txt,cti,,,,,
Avaliação da comunicação entre os participantes do projeto e o cliente,1,artigo3.txt,cti,,,,,
Avaliação do período envolvido na realização das atividades,1,artigo3.txt,cti,,,,,
Percepção das principais partes envolvidas no projeto sobre seu desenvolvimento,1,artigo3.txt,cti,,,,,
"Avaliação da capacidade em atender a necessidade dos envolvidos, a partir de critério de aceitação previamente estabelecidos",1,artigo3.txt,cti,,,,,
Avaliação do trabalho desenvolvido pela equipe,1,artigo3.txt,cti,,,,,
Identificação e tratamento dos riscos do projeto,1,artigo3.txt,cti,,,,,
Sustentabilidade,1,artigo3.txt,cti,,,,,
Satisfação de stakeholders,1,artigo3.txt,cti,,,,,
Comunicação interna,1,artigo3.txt,cti,,,,,
Comunicação com o cliente,1,artigo3.txt,cti,,,,,
Índice de desempenho de custo,1,artigo3.txt,cti,,,,,
Valor Agregado,1,artigo3.txt,cti,,,,,
Custo Real,1,artigo3.txt,cti,,,,,
Variação de custo,1,artigo3.txt,cti,,,,,
Orçamento no término,1,artigo3.txt,cti,,,,,
Índice de desempenho para término,1,artigo3.txt,cti,,,,,
Valor planejado,1,artigo3.txt,cti,,,,,
Estimativa de custo no término,1,artigo3.txt,cti,,,,,
Estimativa de custo para terminar,1,artigo3.txt,cti,,,,,
Rentabilidade do projeto,1,artigo3.txt,cti,,,,,
Custo com subcontratações,1,artigo3.txt,cti,,,,,
Valor agregado sustentável,1,artigo3.txt,cti,,,,,
Valor planejado sustentável,1,artigo3.txt,cti,,,,,
Objetivo Índice de desempenho de custos sustentável,1,artigo3.txt,cti,,,,,
Custo real com sustentabilidade,1,artigo3.txt,cti,,,,,
Variação de custo sustentável,1,artigo3.txt,cti,,,,,
Eficiência de custo,1,artigo3.txt,cti,,,,,
Crescimento de custo,1,artigo3.txt,cti,,,,,
Taxa de queima de custos,1,artigo3.txt,cti,,,,,
Taxa de custo predominante,1,artigo3.txt,cti,,,,,
Índice de excesso de custo,1,artigo3.txt,cti,,,,,
Probabilidade de estouro de custos,1,artigo3.txt,cti,,,,,
Variação do custo na conclusão,1,artigo3.txt,cti,,,,,
Custo de qualidade,1,artigo3.txt,cti,,,,,
Taxa de custo de qualidade,1,artigo3.txt,cti,,,,,
Definição de requisitos,1,artigo3.txt,cti,,,,,
Verificação dos requisitos,1,artigo3.txt,cti,,,,,
Validação dos requisitos,1,artigo3.txt,cti,,,,,
Entrega dos serviços especificados,1,artigo3.txt,cti,,,,,
Estrutura do projeto,1,artigo3.txt,cti,,,,,
Inovações Tecnológicas,1,artigo3.txt,cti,,,,,
Usabilidade,1,artigo3.txt,cti,,,,,
Especificação das entregas,1,artigo3.txt,cti,,,,,
Especificação das metas,1,artigo3.txt,cti,,,,,
Especificação do método de medição das metas,1,artigo3.txt,cti,,,,,
Sustentabilidade Ambiental,1,artigo3.txt,cti,,,,,
Sustentabilidade do produto,1,artigo3.txt,cti,,,,,
Sustentabilidade Econômica,1,artigo3.txt,cti,,,,,
Sustentabilidade Social,1,artigo3.txt,cti,,,,,
Quantidade de alterações no escopo,1,artigo3.txt,cti,,,,,
Variação no tamanho do projeto,1,artigo3.txt,cti,,,,,
Quantidade de pendências,1,artigo3.txt,cti,,,,,
Taxa de cumprimento de marcos contratuais,1,artigo3.txt,cti,,,,,
Quantidade de alterações aprovadas pelo cliente,1,artigo3.txt,cti,,,,,
Volatilidade dos requisitos,1,artigo3.txt,cti,,,,,
Taxa de mudança de escopo,1,artigo3.txt,cti,,,,,
Nível de satisfação do cliente,1,artigo3.txt,cti,,,,,
Especificação dos papéis e responsabilidades das partes interessadas,1,artigo3.txt,cti,,,,,
Realização dos objetivos,1,artigo3.txt,cti,,,,,
Engajamento das partes interessadas,1,artigo3.txt,cti,,,,,
Aprovação do Produto,1,artigo3.txt,cti,,,,,
Ações de Fechamento,1,artigo3.txt,cti,,,,,
Superação dos objetivos,1,artigo3.txt,cti,,,,,
Eficácia,1,artigo3.txt,cti,,,,,
Análise das partes interessadas,1,artigo3.txt,cti,,,,,
Dinâmica das partes interessadas,1,artigo3.txt,cti,,,,,
Tratamento dos riscos,1,artigo3.txt,cti,,,,,
Quantidade de riscos,1,artigo3.txt,cti,,,,,
Quantidade de acidentes,1,artigo3.txt,cti,,,,,
Taxa Total de Incidentes Registráveis,1,artigo3.txt,cti,,,,,
"Taxa de dias de ausência, restrição de trabalho ou transferência",1,artigo3.txt,cti,,,,,
Conformidade do processo,1,artigo3.txt,cti,,,,,
Quantidade de defeitos,1,artigo3.txt,cti,,,,,
Número de inspeções de qualidade,1,artigo3.txt,cti,,,,,
Quantidade de não conformidades,1,artigo3.txt,cti,,,,,
Taxa de rejeição,1,artigo3.txt,cti,,,,,
Penalidades por não-conformidades,1,artigo3.txt,cti,,,,,
Taxa de defeitos,1,artigo3.txt,cti,,,,,
Eficiência dos testes de qualidade,1,artigo3.txt,cti,,,,,
Taxa de remoção de defeitos,1,artigo3.txt,cti,,,,,
Taxa de Retrabalho,1,artigo3.txt,cti,,,,,
Disponibilidade de recursos,1,artigo3.txt,cti,,,,,
Desenvolvimento de habilidades,1,artigo3.txt,cti,,,,,
Utilização dos recursos,1,artigo3.txt,cti,,,,,
Compromisso da equipe,1,artigo3.txt,cti,,,,,
Motivação da equipe,1,artigo3.txt,cti,,,,,
Colaboração da equipe,1,artigo3.txt,cti,,,,,
Coesão da equipe,1,artigo3.txt,cti,,,,,
Nível de satisfação da equipe,1,artigo3.txt,cti,,,,,
Esforço Acumulado,1,artigo3.txt,cti,,,,,
Produtividade,1,artigo3.txt,cti,,,,,
Eficiência da produtividade,1,artigo3.txt,cti,,,,,
FTE da Equipe por Custo Total do Projeto,1,artigo3.txt,cti,,,,,
FTE da Equipe por Custo Total da Equipe,1,artigo3.txt,cti,,,,,
Taxa de Entrega,1,artigo3.txt,cti,,,,,
Variação de esforço,1,artigo3.txt,cti,,,,,
Índice de desempenho de prazo,1,artigo3.txt,cti,,,,,
Taxa de trabalho concluído,1,artigo3.txt,cti,,,,,
Variação de prazo,1,artigo3.txt,cti,,,,,
Índice de desempenho de prazo sustentável,1,artigo3.txt,cti,,,,,
Eficiência de prazo,1,artigo3.txt,cti,,,,,
Taxa de trabalho restante,1,artigo3.txt,cti,,,,,
Taxa de cumprimento de datas críticas,1,artigo3.txt,cti,,,,,
Crescimento de prazo,1,artigo3.txt,cti,,,,,
Variação de prazo sustentável,1,artigo3.txt,cti,,,,,
Prazo Agregado,1,artigo3.txt,cti,,,,,
Duração Agregada,1,artigo3.txt,cti,,,,,
Duração relativa ao tamanho do projeto,1,artigo3.txt,cti,,,,,
Estimativa de duração no término,1,artigo3.txt,cti,,,,,
"Gastos com educação, % PIB",1,artigo4.txt,cti,,,,,
"Gastos brutos com P&D, % PIB",1,artigo4.txt,cti,,,,,
Empresas globais de P&D,1,artigo4.txt,cti,,,,,
Qualidade das universidades,1,artigo4.txt,cti,,,,,
"Valor pago por uso de PI, % do comércio total",1,artigo4.txt,cti,,,,,
"Imp. líquidas de alta tecnologia, % do comércio total",1,artigo4.txt,cti,,,,,
Serviços Governamentais On-line,1,artigo4.txt,cti,,,,,
Participação Eletrônica,1,artigo4.txt,cti,,,,,
"Qualidade das publicações, medida pelo índice H",1,artigo4.txt,cti,,,,,
"Val. Recebidos por uso de PI, % do comércio total",1,artigo4.txt,cti,,,,,
"Escala do mercado interno, bi (PPC US$)",1,artigo4.txt,cti,,,,,
Facilidade de obtenção de crédito,1,artigo4.txt,cti,,,,,
Investimentos,1,artigo4.txt,cti,,,,,
"Taxa tarifária aplicada, média ponderada, %",1,artigo4.txt,cti,,,,,
Eficácia do Governo,1,artigo4.txt,cti,,,,,
Facilidade para abrir uma empresa,1,artigo4.txt,cti,,,,,
Qualidade regulatória,1,artigo4.txt,cti,,,,,
"Razão aluno/professor, ensino médio",1,artigo4.txt,cti,,,,,
"Mobilidade de estudantes no ensino superior, %",1,artigo4.txt,cti,,,,,
"Graduados em ciência e engenharia, %",1,artigo4.txt,cti,,,,,
Acesso a TIC,1,artigo4.txt,cti,,,,,
"Formação bruta de capital, % PIB",1,artigo4.txt,cti,,,,,
"Taxa crescimento do PIB/trabalhador (PPC US$), %",1,artigo4.txt,cti,,,,,
"Gastos com software, % do PIB",1,artigo4.txt,cti,,,,,
Novas empresas/mil hab. 15-64,1,artigo4.txt,cti,,,,,
"Exp. de serviços de TIC, % do com. total",1,artigo4.txt,cti,,,,,
Filmes nacionais longa-metragem/mi hab.,1,artigo4.txt,cti,,,,,
"Prod. de imp. e outras mídias, % prod. Industrial",1,artigo4.txt,cti,,,,,
Domínios gen. de alto nível (TLD) /mil hab.,1,artigo4.txt,cti,,,,,
Recursos humanos em C&T,1,artigo4.txt,cti,,,,,
Novos doutores titulados per capita,1,artigo4.txt,cti,,,,,
Novos mestres titulados,1,artigo4.txt,cti,,,,,
Novos graduados titulados,1,artigo4.txt,cti,,,,,
Excelência do sistema de pesquisa,1,artigo4.txt,cti,,,,,
Artigos publicados per capita,1,artigo4.txt,cti,,,,,
Dispêndio público estadual em C&T,1,artigo4.txt,cti,,,,,
Dispêndio público estadual em P&D como proporção da receita do estado,1,artigo4.txt,cti,,,,,
Dispêndio público estadual em atividades científicas e técnicas correlatas como proporção da receita,1,artigo4.txt,cti,,,,,
Dispêndio empresarial em atividades inovativas,1,artigo4.txt,cti,,,,,
Dispêndio das indústrias inovadoras de P&D internos como proporção da receita líquida de vendas,1,artigo4.txt,cti,,,,,
Dispêndio das indústrias inovadoras em atividades inovativas de não P&D internos como proporção da receita líquida de vendas,1,artigo4.txt,cti,,,,,
Inovadores,1,artigo4.txt,cti,,,,,
Taxa de inovação de produto e/ou processo,1,artigo4.txt,cti,,,,,
Taxa de inovação organizacional e/ou de marketing,1,artigo4.txt,cti,,,,,
Taxa de cooperação,1,artigo4.txt,cti,,,,,
Ativos de propriedade intelectual,1,artigo4.txt,cti,,,,,
Patentes depositadas per capita,1,artigo4.txt,cti,,,,,
Marcas registradas per capita,1,artigo4.txt,cti,,,,,
Desenhos industriais registrados per capita,1,artigo4.txt,cti,,,,,
"Ocupações em Ciência, Tecnologia e Inovação",1,artigo4.txt,cti,,,,,
Ocupações em CT&I como proporção do total,1,artigo4.txt,cti,,,,,
Exportações intensivas em tecnologia,1,artigo4.txt,cti,,,,,
Exportação de bens intensivos em tecnologia como proporção do total exportado,1,artigo4.txt,cti,,,,,
Exportação de serviços intensivos em conhecimento como proporção do total exportado,1,artigo4.txt,cti,,,,,
"PIB, variação real em volume",1,artigo4.txt,cti,,,,,
PIB per capita (R$),1,artigo4.txt,cti,,,,,
"Crescimento do PIB, por trabalhador ocupado (R$/pessoa)",1,artigo4.txt,cti,,,,,
Taxa de investimento público na economia paraense (% da despesa total),1,artigo4.txt,cti,,,,,
Produtividade na indústria (VA da Indústria R$/pessoas ocupadas),1,artigo4.txt,cti,,,,,
Número de patentes depositadas por pessoa física e jurídica,1,artigo4.txt,cti,,,,,
Dispêndio Estadual em C&T (R$),1,artigo4.txt,cti,,,,,
C&T s/ Receita Total,1,artigo4.txt,cti,,,,,
Dispêndio C&T s/ VA Indústria,1,artigo4.txt,cti,,,,,
Dispêndio C&T s/ VA Agropecuária,1,artigo4.txt,cti,,,,,
Dispêndio C&T s/ VA Serviços,1,artigo4.txt,cti,,,,,
Dispêndio C&T s/ VA Administração,1,artigo4.txt,cti,,,,,
Número de horas,1,artigo5.txt,cti,,,,,
Número de pesquisadores externos treinados,1,artigo5.txt,cti,,,,,
Confiabilidade (horas entregues/horas previstas),1,artigo5.txt,cti,,,,,
Desempenho da Fonte de Luz Síncrotron,1,artigo5.txt,cti,,,,,
